pasma,mesto,skupina,min_starost,max_starost,min_visina,max_visina,min_teza,max_teza,nega,hitrost_ucenja,temperament,opis
Nederlandse Kooikerhondje,150,Sporting,12,15,14.5,16.5,20,30,Weekly Brushing,Eager to Please,Reserved with Strangers,

Pumi,151,Herding,12,13,15.5,17.5,24.5,26.5,Occasional Bath/Brush,Easy Training,Alert/Responsive,"The Pumi is a medium-sized alert, intelligent, energetic, and agile Hungarian herding breed, originating in the seventeenth or eighteenth centuries from the ancestral Puli, and used to herd cattle, sheep, and swine. He is characterized by his square outline, curly coat, circular tail, and long head with semi-erect ears, and whimsical expression. The Pumi originated in Hungary where pastures were small and the livestock were driven to local fields for grazing. He is a versatile stock dog, equally adept at gathering, driving and keeping the stock within boundaries as directed by the shepherd, working very close to the livestock, and using his voice and quick movement to keep the stock under control."

Ibizan Hound,152,Hound,11,14,22.5,26.5,,,Occasional Bath/Brush,Independent,Reserved with Strangers,"The Ibizan&#8217;s clean-cut lines, large prick ears and light pigment give it a unique appearance. A hunting dog whose quarry is primarily rabbits, this ancient hound was bred for thousands of years with function being of prime importance. Lithe and racy, the Ibizan possesses a deerlike elegance combined with the power of a hunter. Strong, without appearing heavily muscled, the Ibizan is a hound of moderation. With the exception of the ears, he should not appear extreme or exaggerated."

Spanish Water Dog,153,Herding,12,14,,,35.5,44.5,Specialty/Professional,Eager to Please,Reserved with Strangers,"A rustic breed of the Iberian Peninsula, the Spanish Water Dog is a sturdy, medium sized, well proportioned, athletic dog that is suited to perform a variety of tasks including herding, hunting, and assisting fishermen. He is a loyal, vigilant, and intelligent working dog with strong herding instincts. His working ability is attributed to an intense desire to please. In profile, the Spanish Water Dog is slightly longer than tall. He has a distinctive curly coat, which is adapted to the variation of humidity and drought of his homeland."

Portuguese Podengo Pequeno,154,Hound,12,15,8,12,9,13,Weekly Brushing,Agreeable,Friendly,"A wedge shaped head (a four sided pyramid) with erect ears, a sickle shaped tail, a sound skeleton, well muscled: very lively and intelligent, sober and rustic. This is a breed of moderation."

Icelandic Sheepdog,155,Herding,12,14,,,,,Weekly Brushing,Eager to Please,Friendly,"The Icelandic Sheepdog is a Nordic herding Spitz, slightly under medium sized with prick ears and a curled tail. Seen from the side the dog is rectangular. The expression is gentle, intelligent and happy. A confident and lively bearing is typical for this dog. There are two types of coat, long and short, both thick and extremely weatherproof. There is a marked difference in appearance between the sexes."

Petit Basset Griffon Vendéen,156,Hound,12,14,13,15,25,40,Weekly Brushing,Independent,Friendly,"The Petit Basset Griffon Vendéen is a French scent hound developed first and foremost to hunt small game over the rough and difficult terrain of the Vendéen region. To function efficiently, he must be equipped with certain characteristics. He is bold and vivacious in character; compact, tough and robust in construction. He has an alert outlook, lively bearing and a good voice freely and purposefully used."

Entlebucher Mountain Dog,157,Herding,11,13,16.5,20.5,45.0,60.0,Occasional Bath/Brush,Independent,Reserved with Strangers,"The Entlebucher is a compact, strongly muscled, elongated drover with ample bone. He has a short, hard and shiny coat, bright black with symmetrical markings of pure white on blaze, muzzle, chest, and feet; shades of rich fawn to mahogany are present on the eyebrows and between the black and white markings."

Scottish Deerhound,158,Hound,8,11,,,80.0,102.5,Occasional Bath/Brush,Independent,Alert/Responsive,

Irish Water Spaniel,159,Sporting,12,13,21.5,23.5,50.0,63.0,Weekly Brushing,Easy Training,Reserved with Strangers,"That of a smart, upstanding, strongly built moderate gundog bred for all types of shooting, especially for water-fowling. Great intelligence is combined with rugged endurance and a bold, dashing eagerness of temperament. Distinguishing characteristics are a topknot of long, loose curls and a body covered with a dense, crisply curled liver colored coat contrasted by a smooth face and a smooth &#8220;rat&#8221; tail."

Great Dane,16,Working,7,10,29.0,31.0,125.0,157.5,Occasional Bath/Brush,Agreeable,Alert/Responsive,"The Great Dane combines, in its regal appearance, dignity, strength and elegance with great size and a powerful, well-formed, smoothly muscled body. It is one of the giant working breeds, but is unique in that its general conformation must be so well balanced that it never appears clumsy and shall move with a long reach and powerful drive. It is always a unit-the Apollo of dogs. A Great Dane must be spirited, courageous, never timid; always friendly and dependable. This physical and mental combination is the characteristic which gives the Great Dane the majesty possessed by no other breed. It is particularly true of this breed that there is an impression of great masculinity in dogs, as compared to an impression of femininity in bitches. Lack of true Dane breed type, as defined in this standard, is the most serious fault."

Puli,160,Herding,10,15,,,25,35,Specialty/Professional,Independent,Reserved with Strangers,"The Puli is a compact, square appearing, well balanced dog of medium size. He is vigorous, alert and active. Striking and highly characteristic is the shaggy coat which, combined with his light-footed, distinctive movement, has fitted him for the strenuous work of herding flocks on the plains of Hungary. Agility, combined with soundness of mind and body, is of prime importance for the proper fulfillment of this centuries-old task."

Finnish Lapphund,161,Herding,12,15,17.0,20.0,33,53,Weekly Brushing,Eager to Please,Reserved with Strangers,"The Finnish Lapphund is a medium sized breed that combines the look of the northern type dog with the temperament of the herding dog. They are intelligent, alert, agile, friendly and eager to learn. Developed to live and work outside, north of the Arctic Circle, the breed is strongly built and thickly coated. These dogs were never intended as guardians, and are particularly submissive towards people. Despite its strength, the Finnish Lapphund conveys a certain softness, particularly in expression. Males are recognizably masculine and females feminine."

Curly-Coated Retriever,162,Sporting,10,12,24.0,26.0,60,95,Occasional Bath/Brush,Independent,Reserved with Strangers,"This smartly upstanding, multi-purpose hunting retriever is recognized by most canine historians as one of the oldest of the retrieving breeds. Developed in England, the Curly was long a favorite of English gamekeepers. Prized for innate field ability, courage and indomitable perseverance, a correctly built and tempered Curly will work as long as there is work to be done, retrieving both fur and feather in the heaviest of cover and the iciest of waters. To work all day a Curly must be balanced and sound, strong and robust, and quick and agile."

Kuvasz,163,Working,10,12,27.0,29.0,85.0,102.5,Weekly Brushing,Independent,Reserved with Strangers,"A working dog of larger size, sturdily built, well balanced, neither lanky nor cobby. White in color with no markings. Medium boned, well muscled, without the slightest hint of bulkiness or lethargy. Impresses the eye with strength and activity combined with light-footedness, moves freely on strong legs."

Sealyham Terrier,164,Terrier,12,14,,,,,2-3 Times a Week Brushing,Independent,Alert/Responsive,"The Sealyham should be the embodiment of power and determination, ever keen and alert, of extraordinary substance, yet free from clumsiness."

Norwegian Buhund,165,Herding,12,15,16.5,17.5,28.5,37.5,Weekly Brushing,Easy Training,Friendly,"The Norwegian Buhund is a herding dog. It is a typical northern breed, a little under medium size and squarely built, with a tightly curled tail carried over the back. The head is wedge-shaped and not too heavy, with prick ears. As it is extremely intelligent by nature, consistent training is needed from early puppyhood. The Buhund has a lot of energy, strength and stamina. This self-appointed watchdog is also content lying at your feet at the end of the day. Broken teeth and honorable scars incurred in the line of herding duty are acceptable."

American Water Spaniel,166,Sporting,10,14,15,18,27.5,42.5,2-3 Times a Week Brushing,Eager to Please,Friendly,"The American Water Spaniel was developed in the United States as an all-around hunting dog, bred to retrieve from skiff or canoes and work ground with relative ease. The American Water Spaniel is an active muscular dog, medium in size with a marcel to curly coat. Emphasis is placed on proper size and a symmetrical relationship of parts, texture of coat and color."

Wirehaired Vizsla,167,Sporting,12,14,22.0,24.0,50.0,60.0,Occasional Bath/Brush,Agreeable,Alert/Responsive,"The Wirehaired Vizsla is a distinguished, versatile hunting dog of medium size, bred for substance and a dense wire coat. Balanced in size and proportion, the Wirehaired Vizsla is robust and lean. <strong>Movement is powerful</strong> yet graceful with far reaching drive enabling the breed to hunt in all elements and cover any terrain encountered by the walking hunter. The breed possesses an <a href=""/sports/akc-scent-work/"">excellent nose for hunting</a> and tracking feather and fur on land and in water, as well as a natural point and retrieve. The breed&#8217;s most distinguishing features are its weather resistant dense wire coat and its facial furnishings, specifically its beard and eyebrows. Natural appearance is essential to breed type, therefore the Wirehaired Vizsla is to be shown with limited stripping and should not be penalized for being shown in working condition:"

Löwchen,168,Non-Sporting,,,11,13,10,15,Occasional Bath/Brush,Agreeable,Outgoing,"A small, bright, and lively dog that originated as a companion breed in pre-Renaissance Europe where ladies of the court groomed it in the likeness of a little lion. Breed characteristics are a compact, balanced body; a relatively short, broad topskull and muzzle; and a proud, lively gait that accentuates the lion cut with a long flowing mane. These quintessential features, combined with an outgoing and positive attitude, result in a dog of great style."

Swedish Vallhund,169,Herding,12,15,,,20,35,Occasional Bath/Brush,Eager to Please,Friendly,"The Swedish Vallhund is a small, powerful, fearless, sturdily built Spitz herding dog. The correct relationship of height to length of body is 2:3. The SV has a wedge-shaped head, prick ears, and a close-fitting hard coat of medium length and sable coloring. The double coat and the characteristic &#8220;harness markings&#8221; are essential features of this breed. Tail may be natural (long, stub, or bob) or docked. The appearance of the Swedish Vallhund conveys intelligence, alertness and energy. Balance, outline, temperament and movement are of overriding importance."

Australian Shepherd,17,Herding,12,15,19.0,22.0,45.0,60.0,Weekly Brushing,Eager to Please,Alert/Responsive,"The Australian Shepherd is an intelligent working dog of strong herding and guarding instincts. He is a loyal companion and has the stamina to work all day. He is well balanced, slightly longer than tall, of medium size and bone, with coloring that offers variety and individuality. He is attentive and animated, lithe and agile, solid and muscular without cloddiness. He has a coat of moderate length and coarseness. He has a docked or natural bobbed tail."

Doberman Pinscher,17,Working,10,12,25.0,27.0,67.5,95.0,Occasional Bath/Brush,Eager to Please,Alert/Responsive,"The appearance is that of a dog of medium size, with a body that is square. Compactly built, muscular and powerful, for great endurance and speed. Elegant in appearance, of proud carriage, reflecting great nobility and temperament. Energetic, watchful, determined, alert, fearless, loyal and obedient."

Polish Lowland Sheepdog,170,Herding,12,14,17.5,19.5,30,50,Daily Brushing,May be Stubborn,Aloof/Wary,"Medium-sized, compact, strong and muscular with a long, thick coat and hanging hair that covers the eyes. He is shaggy and natural in appearance with a docked or naturally bobbed tail. His herding and working ability is attributed to an intense desire to please and compatible nature. He is lively but self-controlled, clever and perceptive. The breed is well known for an excellent memory and the ability to work independently of his master."

Plott Hound,171,Hound,12,14,20.0,24.0,45.0,57.5,Occasional Bath/Brush,Independent,Alert/Responsive,"A hunting hound of striking color that traditionally brings big game to bay or tree, the Plott Hound is intelligent, alert and confident. Noted for stamina, endurance, agility, determination and aggressiveness when hunting, the powerful, well muscled, yet streamlined Plott Hound combines courage with athletic ability."

Pharaoh Hound,172,Hound,12,14,22.0,24.5,45,55,Weekly Brushing,Independent,Reserved with Strangers,"General Appearance is one of grace, power and speed. The Pharaoh Hound is medium sized, of noble bearing with hard clean-cut lines-graceful, well balanced, very fast with free easy movement and alert expression.  The following description is that of the ideal Pharaoh Hound. Any deviation from the below described dog must be penalized to the extent of the deviation."

Komondor,173,Working,10,12,,,,,Specialty/Professional,Independent,Reserved with Strangers,"The Komondor is characterized by imposing strength, dignity, courageous demeanor, and pleasing conformation. He is a large, muscular dog with plenty of bone and substance, covered with an unusual, heavy coat of white cords. The working Komondor lives during the greater part of the year in the open, and his coat serves to help him blend in with his flock and to protect him from extremes of weather and beasts of prey."

Glen of Imaal Terrier,174,Terrier,10,15,,,32,40,2-3 Times a Week Brushing,Independent,Alert/Responsive,"The Glen of Imaal Terrier, named for the region in the Wicklow Mountains of Ireland where it was developed long ago, is a medium sized working terrier. Longer than tall and sporting a double coat of medium length, the Glen possesses great strength and should always convey the impression of maximum substance for size of dog. Unrefined to this day, the breed still possesses &#8220;antique&#8221; features once common to many early terrier types; its distinctive head with rose or half-prick ears, its bowed forequarters with turned out feet, its unique outline and topline are hallmarks of the breed and essential to the breed type."

American English Coonhound,175,Hound,11,12,23.5,25.5,45,65,Occasional Bath/Brush,Agreeable,Alert/Responsive,"Renowned for speed and endurance, the American English Coonhound has a strong but racy body, a deep chest with plenty of lung room, a strong back, broad loin and well-defined musculature. A balanced, powerful dog with no exaggerated parts, the American English possesses the grace and attitude of a well-conditioned athlete."

Dandie Dinmont Terrier,176,Terrier,12,15,8,11,18,24,Daily Brushing,Independent,Reserved with Strangers,"Originally bred to go to ground, the Dandie Dinmont Terrier is a long, low-stationed working terrier with a curved outline. The distinctive head with silken topknot is large but in proportion to the size of the dog. The dark eyes are large and round with a soft, wise expression. The sturdy, flexible body and scimitar shaped tail are covered with a rather crisp double coat, either mustard or pepper in color."

Grand Basset Griffon Vendéen,177,Hound,13,15,,,40,45,Weekly Brushing,Independent,Friendly,"The Grand Basset Griffon Vendéen is a well-balanced, strongly built, rough-coated scent hound of friendly and noble character. He is of medium size with straight legs, deep chest. He is longer than he is tall with a moderately long muzzle, long ears and a long tail. His neck is moderately long and strong, noble head with a mustache and beard, surmounted with protective long eyebrows. His structure was designed to hunt rabbit and hare at a fast pace through the bramble, and over the rough terrain of the Vendee area of France. He is a courageous, passionate and broadly skilled hunter who today is used to hunt not only rabbit and hare but also boar and roe deer. He is active, possessing great stamina for a full days&#8217; hunt and uses his voice freely while on the trail. Any feature that detracts from the function is a serious fault."

Skye Terrier,178,Terrier,12,14,,,,,Daily Brushing,Independent,Reserved with Strangers,"The Skye Terrier is a dog of style, elegance and dignity: agile and strong with sturdy bone and hard muscle. Long, low and level-he is twice as long as he is high-he is covered with a profuse coat that falls straight down either side of the body over oval-shaped ribs. The hair well feathered on the head veils forehead and eyes to serve as protection from brush and briar as well as amid serious encounters with other animals. He stands with head high and long tail hanging and moves with a seemingly effortless gait. He is strong in body, quarter and jaw."

Canaan Dog,179,Herding,12,15,19.5,23.5,40.0,50.0,Weekly Brushing,Independent,Reserved with Strangers,"The Canaan Dog, the National dog of Israel, is a herding and flock sentry dog originating in the Land of Canaan. The Canaan Dog is a pariah dog type that is naturally alert, inquisitive and watchful. He is mistrustful of strangers and unfamiliar environments, yet loyal and loving with his family. A square dog of medium size, moderate and balanced without extremes, showing a clean outline. The moderately angulated Canaan Dog moves with athletic agility and grace in an efficient, ground-covering endurance trot. He has a wedge-shaped head with low-set erect ears, a high set brush tail that curls over the back when confident, and a straight, harsh, flat-lying double coat. There is a marked distinction between the sexes."

Cavalier King Charles Spaniel,18,Toy,12,15,12,13,13,18,Weekly Brushing,Eager to Please,Friendly,"The Cavalier King Charles Spaniel is an active, graceful, well-balanced toy spaniel, very gay and free in action; fearless and sporting in character, yet at the same time gentle and affectionate. It is this typical gay temperament, combined with true elegance and royal appearance which are of paramount importance in the breed. Natural appearance with no trimming, sculpting or artificial alteration is essential to breed type."

Sussex Spaniel,180,Sporting,13,15,13,15,35,45,2-3 Times a Week Brushing,Independent,Reserved with Strangers,"Its short legs, massive build, long body, and habit of giving tongue when on scent made the breed ideally suited to penetrating the dense undergrowth and flushing game within range of the gun. Strength, maneuverability, and desire were essential for this purpose. Although it has never gained great popularity in numbers, the Sussex Spaniel continues today essentially unchanged in character and general appearance from those 19th century sporting dogs. The Sussex Spaniel presents a long and low, rectangular and rather massive appearance coupled with free movements and nice tail action. The breed has a somber and serious expression. The rich golden liver color is unique to the breed."

Pyrenean Shepherd,181,Herding,,,,,15,30,Weekly Brushing,Agreeable,Reserved with Strangers,"A small, sinewy, lean, lively dog whose sparkling personality and quicksilver intelligence are reflected in the vibrant expression of his unique triangular head and windswept face. A superb athlete, his beautiful, flowing gait &#8220;shaves the earth.&#8221; Uncoiffed, light-boned and built as a horizontal rectangle, his high energy and intelligent, cunning, mischievous attitude show that he is always on alert, suspicious, ready for action. An ardent herder of all kinds of livestock, his vigilant attitude and great vivacity of movement give this little dog a highly singular gait and appearance, characteristic of no other breed."

Otterhound,182,Hound,10,13,,,,,Weekly Brushing,May be Stubborn,Alert/Responsive,"The Otterhound is a large, rough-coated hound with an imposing head showing great strength and dignity, and the strong body and long striding action fit for a long day&#8217;s work. It has an extremely sensitive nose, and is inquisitive and perseverant in investigating scents. The Otterhound hunts its quarry on land and water and requires a combination of characteristics unique among hounds-most notably a rough, double coat; and substantial webbed feet. Otterhounds should not be penalized for being shown in working condition (lean, well muscled, with a naturally stripped coat). Any departure from the following points should be considered a fault; its seriousness should be regarded in exact proportion to its degree."

Cirneco dell’Etna,183,Hound,12,14,17.0,18.5,19.5,24.0,Occasional Bath/Brush,Agreeable,Alert/Responsive,"Medium sized hunting dog, elegant, slender build but strong and hardy. Long limbed, of light construction and square outline with a fine coat and erect ears always alert. Honorable scars indicating a working and hunting dog are never to be penalized. The following description is that of the ideal Cirneco dell&#8217;Etna. Any deviation from the below described dog must be penalized to the extent of the deviation. Characteristics: A keen hunter. Adaptable to difficult terrain. Hunts by scent, sight and hearing. Strong-willed, alert and an excellent companion."

Finnish Spitz,184,Non-Sporting,13,15,16.0,19.0,22.5,30.5,Weekly Brushing,Agreeable,Friendly,"The Finnish Spitz presents a fox-like picture. The breed has long been used to hunt small game and birds. The pointed muzzle, erect ears, dense coat and curled tail denotes its northern heritage. The Finnish Spitzs whole being shows liveliness, which is especially evident in the eyes, ears and tail. Males are decidedly masculine without coarseness. Bitches are decidedly feminine without over-refinement."

Cesky Terrier,185,Terrier,12,15,10,13,14,24,Weekly Brushing,Agreeable,Reserved with Strangers,"The Cesky Terrier was developed to be a well-muscled, short legged and well-pigmented igh-qunting terrier that could be worked in packs. The Cesky Terrier has natural drop ears and a natural tail. The Cesky is longer than it is tall and has a topline that rises slightly higher over the loin and rump. It sports a soft, long, silky coat in shades of gray from charcoal to platinum. The correct coat is clipped to emphasize a slim impression. The hallmarks of the breed should be unique unto itself with a lean body and graceful movement."

American Foxhound,186,Hound,11,13,21.5,24.5,62.5,67.5,Occasional Bath/Brush,Independent,Friendly,

Bergamasco Sheepdog,187,Herding,13,15,,,63.5,77.5,Occasional Bath/Brush,Agreeable,Reserved with Strangers,"The Bergamasco Sheepdog is a muscular, heavy-boned herding dog with a large head and a thick tail that hangs down to the hock and curves slightly upward at the end. The entire dog is covered with an abundant coat that forms mats. The Bergamasco is compact in profile but is just slightly longer than tall."

English Foxhound,188,Hound,10,13,,,60,75,Occasional Bath/Brush,Agreeable,Friendly,

Harrier,189,Hound,12,15,19,21,45,60,Weekly Brushing,Easy Training,Friendly,"Developed in England to hunt hare in packs, Harriers must have all the attributes of a scenting pack hound. They are very sturdily built with large bone for their size. They must be active, well balanced, full of strength and quality, in all ways appearing able to work tirelessly, no matter the terrain, for long periods. Running gear and scenting ability are particularly important features. The Harrier should, in fact, be a smaller version of the English Foxhound."

Miniature Schnauzer,19,Terrier,12,15,12,14,11,20,Specialty/Professional,Eager to Please,Alert/Responsive,"The Miniature Schnauzer is a robust, active dog of terrier type, resembling his larger cousin, the Standard Schnauzer, in general appearance, and of an alert, active disposition. Faults &#8211; Type &#8211; Toyishness, ranginess or coarseness."

Chinook,190,Working,12,15,23.0,25.0,52.5,77.5,Weekly Brushing,Eager to Please,Friendly,"The Chinook was developed in the United States as a sled dog whose function was drafting and sled dog racing. Bred to combine the power of freighting breeds with the speed of the lighter racing sled dogs, he is an athletic, hard bodied dog showing good forward reach and rear extension in a seemingly tireless gait. The Chinook is an impressive dog, with an aquiline muzzle, dark almond eyes, black eye markings, a variety of ear carriages, and a tawny, close fitting coat. His saber tail is held in a graceful sickle curve. The male should appear unquestionably masculine; the female should have a distinctly feminine look and be judged equally with the male. A dignified and affectionate family dog, the Chinook is known for his love of children. The Chinook is to be presented in a natural condition with no trimming. The following is a description of the ideal Chinook.  Size, Proportion, Substance: The Chinook is a slow maturing breed. Size &#8211; Ideal height at the withers: males 24 to 26 inches; females 22 to 24 inches. Proportion &#8211; When measuring from point of shoulder to the point of buttocks the Chinook is slightly longer than tall. The proportion of height to length of body being as 9:10 in ratio. Substance &#8211; Muscular with moderate bone, a gender difference is easily discernible. The Chinook exemplifies a sound athlete in grace, muscle tone, movement, and carriage."

Norwegian Lundehund,191,Non-Sporting,12,15,12.5,14.5,20,30,Weekly Brushing,Agreeable,Reserved with Strangers,"The Norwegian Lundehund is a small rectangular and agile Spitz breed with unique characteristics not found in any other breed. Originating on remote islands of arctic Norway, the dog was used to wrestle and retrieve live puffin birds from the crevices of steep vertical cliffs. To enable the dog to climb, descend, and brake on these cliffs, unique structural characteristics have evolved and must be present as they define this breed: a minimum of six toes on each foot and elongated rear foot pads; an elastic neck that allows the head to bend backward to touch the spine, letting the dog turn around in narrow puffin bird caves; and shoulders flexible enough to allow the front legs to extend flat to the side in order to hug the cliffs. This shoulder structure produces a peculiar rotary movement. Finally, the ears close and fold forward or backward to protect from debris. The temperament is alert but not expected to be outgoing toward strangers."

Sloughi,192,Hound,,,25.0,28.0,,,Weekly Brushing,Independent,Reserved with Strangers,"The Sloughi is a medium-large, short-haired, smooth-coated, athletic sighthound developed in North Africa (in the area including Morocco, Algeria, Tunisia, and Libya) to hunt game such as hare, fox, jackal, gazelle, and wild pigs. It is an ancient breed, treasured in North Africa for its hunting skills, speed, agility, and endurance over long distances. It is a robust, but elegant and racy, pursuit dog with no exaggeration of length of body or limbs, muscle development, angulation, nor curve of loin. The Sloughi is not a fragile dog, but is also a dog with class and grace. The attitude is noble and somewhat aloof, and the expression of the dark eyes is gentle and melancholy."

German Shepherd Dog,2,Herding,7,10,23.0,25.0,57.5,80.0,Weekly Brushing,Eager to Please,Alert/Responsive,"The first impression of a good German Shepherd Dog is that of a strong, agile, well muscled animal, alert and full of life. It is well balanced, with harmonious development of the forequarter and hindquarter. The dog is longer than tall, deep-bodied, and presents an outline of smooth curves rather than angles. It looks substantial and not spindly, giving the impression, both at rest and in motion, of muscular fitness and nimbleness without any look of clumsiness or soft living. The ideal dog is stamped with a look of quality and nobility &#8211; difficult to define, but unmistakable when present. Secondary sex characteristics are strongly marked, and every animal gives a definite impression of masculinity or femininity, according to its sex."

Shih Tzu,20,Toy,10,18,,,9,16,Daily Brushing,Agreeable,Friendly,"The Shih Tzu is a sturdy, lively, alert toy dog with long flowing double coat. Befitting his noble Chinese ancestry as a highly valued, prized companion and palace pet, the Shih Tzu is proud of bearing, has a distinctively arrogant carriage with head well up and tail curved over the back. Although there has always been considerable size variation, the Shih Tzu must be compact, solid, carrying good weight and substance. Even though a toy dog, the Shih Tzu must be subject to the same requirements of soundness and structure prescribed for all breeds, and any deviation from the ideal described in the standard should be penalized to the extent of the deviation."

Boston Terrier,21,Non-Sporting,11,13,15,17,12,25,Weekly Brushing,Eager to Please,Outgoing,"The Boston Terrier is a lively, highly intelligent, smooth coated, short-headed, compactly built, short-tailed, well balanced dog, brindle, seal or black in color and evenly marked with white. The head is in proportion to the size of the dog and the expression indicates a high degree of intelligence.  The body is rather short and well knit, the limbs strong and neatly turned, the tail is short and no feature is so prominent that the dog appears badly proportioned. The dog conveys an impression of determination, strength and activity, with style of a high order; carriage easy and graceful."

Bernese Mountain Dog,22,Working,7,10,24.0,26.5,75.0,105.0,2-3 Times a Week Brushing,Easy Training,Reserved with Strangers,"The Bernese Mountain Dog is a striking. tri-colored, large dog. He is sturdy and balanced. He is intelligent, strong and agile enough to do the draft and droving work for which he was used in the mountainous regions of his origin. Male dogs appear masculine, while bitches are distinctly feminine."

Pomeranian,23,Toy,12,16,6,7,3,7,2-3 Times a Week Brushing,Agreeable,Alert/Responsive,"The Pomeranian is a compact, short-backed, active toy dog of Nordic descent. The double coat consists of a short dense undercoat with a profuse harsh-textured longer outer coat. The heavily plumed tail is one of the characteristics of the breed. It is set high and lies flat on the back. He is alert in character, exhibits intelligence in expression, is buoyant in deportment, and is inquisitive by nature. The Pomeranian is cocky, commanding, and animated as he gaits. He is sound in composition and action."

Havanese,24,Toy,14,16,,,7,13,2-3 Times a Week Brushing,Easy Training,Outgoing,"The Havanese is a small, sturdy dog of immense charm. The native dog of Cuba, he is beloved as a friendly, intelligent and playful companion. He is slightly longer than tall, with a long, untrimmed, double coat. The Havanese has a short upper arm with moderate shoulder layback and a straight topline that rises slightly from the withers to the croup. The plumed tail is carried arched forward up over the back. The unique springy gait is a result of the breed&#8217;s structure and playful, spirited personality. These characteristics of temperament, coat, structure and gait are essential to type."

Shetland Sheepdog,25,Herding,12,14,13,16,15,25,2-3 Times a Week Brushing,Eager to Please,Reserved with Strangers,"The Shetland Sheepdog is a small, alert, rough-coated, longhaired working dog. He must be sound, agile and sturdy. The outline should be so symmetrical that no part appears out of proportion to the whole. Dogs should appear masculine; bitches feminine."

Brittany,26,Sporting,12,14,,,30,40,2-3 Times a Week Brushing,Eager to Please,Friendly,"A compact, closely knit dog of medium size, a leggy dog having the appearance, as well as the agility, of a great ground coverer. Strong, vigorous, energetic and quick of movement. Ruggedness, without clumsiness, is a characteristic of the breed. He can be tailless or has a tail docked to approximately four inches."

English Springer Spaniel,27,Sporting,12,14,,,,,Weekly Brushing,Eager to Please,Friendly,"The English Springer Spaniel is a medium-sized sporting dog, with a compact body and a docked tail. His coat is moderately long, with feathering on his legs, ears, chest and brisket. His pendulous ears, soft gentle expression, sturdy build and friendly wagging tail proclaim him unmistakably a member of the ancient family of Spaniels. He is above all a well-proportioned dog, free from exaggeration, nicely balanced in every part. His carriage is proud and upstanding, body deep, legs strong and muscular, with enough length to carry him with ease. Taken as a whole, the English Springer Spaniel suggests power, endurance and agility. He looks the part of a dog that can go, and keep going, under difficult hunting conditions. At his best, he is endowed with style, symmetry, balance and enthusiasm, and is every inch a sporting dog of distinct spaniel character, combining beauty and utility."

Pug,28,Toy,13,15,10,13,14,18,Weekly Brushing,Agreeable,Friendly,"Symmetry and general appearance are decidedly square and cobby. A lean, leggy Pug and a dog with short legs and a long body are equally objectionable."

Mastiff,29,Working,6,10,,,140.0,200.0,Occasional Bath/Brush,Agreeable,Alert/Responsive,"The Mastiff is a large, massive, symmetrical dog with a well-knit frame. The impression is one of grandeur and dignity. Dogs are more massive throughout. Bitches should not be faulted for being somewhat smaller in all dimensions while maintaining a proportionally powerful structure. A good evaluation considers positive qualities of type and soundness with equal weight."

Golden Retriever,3,Sporting,10,12,22.0,23.0,60.0,70.0,Weekly Brushing,Eager to Please,Friendly,"A symmetrical, powerful, active dog, sound and well put together, not clumsy nor long in the leg, displaying a kindly expression and possessing a personality that is eager, alert and self-confident. Primarily a hunting dog, he should be shown in hard working condition. Overall appearance, balance, gait and purpose to be given more emphasis than any of his component parts. Faults-Any departure from the described ideal shall be considered faulty to the degree to which it interferes with the breed&#8217;s purpose or is contrary to breed character."

Cocker Spaniel,30,Sporting,10,14,13.5,14.5,22.5,27.5,Daily Brushing,Eager to Please,Outgoing,"The Cocker Spaniel is the smallest member of the Sporting Group. He has a sturdy, compact body and a cleanly chiseled and refined head, with the overall dog in complete balance and of ideal size. He stands well up at the shoulder on straight forelegs with a topline sloping slightly toward strong, moderately bent, muscular quarters. He is a dog capable of considerable speed, combined with great endurance. Above all, he must be free and merry, sound, well balanced throughout and in action show a keen inclination to work. A dog well balanced in all parts is more desirable than a dog with strongly contrasting good points and faults."

Vizsla,31,Sporting,12,14,21.5,23.5,49.5,57.5,Weekly Brushing,Eager to Please,Friendly,"That of a medium-sized, short-coated, hunting dog of distinguished appearance and bearing. Robust but rather lightly built, the coat is an attractive shaded golden rust. Originating in Hungary, the Vizsla was bred to work in field, forest and water. Agile and energetic, this is a versatile dog of power, drive and endurancein the field yet a tractable and affectionate companion in the home. It is strongly emphasized that field conditioned coats, as well as brawny or sinewy muscular condition and honorable scars indicating a working and hunting dog are never to be penalized in this dog. The requisite instincts and abilities to maintain a &#8220;dual dog&#8221; are always to be fostered and appreciated, never deprecated."

Cane Corso,32,Working,9,12,24.0,26.5,,,Occasional Bath/Brush,Agreeable,Alert/Responsive,"Ancient Italian breed medium-large size Molossus Dog. Sturdy, with a strong skeleton. Muscular and athletic, it moves with considerable ease and elegance. It has always been a property watchdog and hunter of difficult game such as the wild boar."

